face_id,x,y,z,closeness,betweenness
face_374,33567.243333,-1811.217489,8530.516379,0.02351,0.00037
face_375,34829.062321,-1008.560412,8530.516379,0.024899,1e-06
face_376,34894.062317,-638.924042,8530.516379,0.025324,0.002082
face_377,34967.243333,-738.924042,8530.516379,0.025389,0.009876
face_378,35067.243333,-838.924042,8530.516379,0.025438,0.033499
face_379,35167.243333,-738.924042,8530.516379,0.025448,0.029262
face_380,35267.243333,-638.924042,8530.516379,0.025429,0.022989
face_381,35367.243333,-538.924042,8530.516379,0.025395,0.012756
face_382,35467.243333,-462.960434,8530.516379,0.025345,0.005779
face_383,35467.243333,-397.960434,8530.516379,0.025234,0.001993
face_384,35367.243333,-338.924042,8530.516379,0.026001,0.00375
face_385,35267.243333,-244.480897,8530.516379,0.026768,0.006652
face_386,35167.243333,-129.480896,8530.516379,0.026979,0.004624
face_387,35067.243333,-38.924042,8530.516379,0.027295,0.013585
face_388,34967.243333,61.075958,8530.516379,0.027508,0.033027
face_389,34867.243333,161.075958,8530.516379,0.027704,0.043014
face_390,34767.243333,261.075958,8530.516379,0.027877,0.035846
face_391,34667.243333,361.075958,8530.516379,0.027884,0.0454
face_392,34567.243333,261.075958,8530.516379,0.027799,0.095344
face_393,34514.637617,161.075958,8530.516379,0.027692,0.06801
face_394,34449.637618,131.109242,8530.516379,0.027084,0.00059
face_395,34367.243333,61.075958,8530.516379,0.027094,0.004103
face_396,34267.243333,-38.924042,8530.516379,0.027097,0.006188
face_397,34167.243333,-129.480896,8530.516379,0.026779,0.002833
face_398,32265.840678,-241.020784,8530.516379,0.035759,0.276407
face_399,32167.243333,-338.924042,8530.516379,0.035472,0.078528
face_400,32067.243333,-438.924042,8530.516379,0.035091,0.151738
face_401,32167.243333,-538.924042,8530.516379,0.034123,0.01227
face_402,32267.243333,-638.924042,8530.516379,0.033174,0.00935
face_403,32367.243333,-738.924042,8530.516379,0.032122,0.007719
face_404,32467.243333,-838.924042,8530.516379,0.031116,0.005629
face_405,32567.243333,-938.924042,8530.516379,0.030153,0.003051
face_406,32667.243333,-1008.560412,8530.516379,0.029232,0.000788
face_407,32993.909295,-1338.924042,8530.516379,0.026406,0.002651
face_408,33067.243333,-1438.924042,8530.516379,0.02643,0.005127
face_409,33167.243333,-1538.924042,8530.516379,0.025692,0.004273
face_410,33267.243333,-1638.924042,8530.516379,0.024978,0.00322
face_411,33367.243333,-1738.924042,8530.516379,0.024287,0.0018
face_412,33467.243333,-1811.217489,8530.516379,0.023618,0.000369
face_413,34894.062317,-738.924042,8530.516379,0.024769,0.002547
face_414,34967.243333,-838.924042,8530.516379,0.024825,0.00976
face_415,35067.243333,-938.924042,8530.516379,0.024867,0.025825
face_416,35167.243333,-838.924042,8530.516379,0.024882,0.024298
face_417,35267.243333,-738.924042,8530.516379,0.02487,0.022139
face_418,35367.243333,-638.924042,8530.516379,0.024843,0.014432
face_419,35467.243333,-538.924042,8530.516379,0.024801,0.007369
face_420,35567.243333,-462.960434,8530.516379,0.024745,0.003217
face_421,35567.243333,-397.960434,8530.516379,0.024618,0.001008
face_422,35467.243333,-338.924042,8530.516379,0.025349,0.002544
face_423,35367.243333,-244.480897,8530.516379,0.02608,0.005717
face_424,35267.243333,-129.480896,8530.516379,0.026281,0.002471
face_425,35167.243333,-38.924042,8530.516379,0.026584,0.007341
face_426,35067.243333,61.075958,8530.516379,0.02687,0.019504
face_427,34967.243333,161.075958,8530.516379,0.027067,0.038585
face_428,34867.243333,261.075958,8530.516379,0.027243,0.035575
face_429,34767.243333,361.075958,8530.516379,0.027401,0.0278
face_430,34667.243333,461.075958,8530.516379,0.027392,0.029462
face_431,34567.243333,361.075958,8530.516379,0.027325,0.075908
face_432,34514.637617,261.075958,8530.516379,0.027232,0.100856
